Source,Target,Weight,Type
0,1.0,7,Directed
0,13.0,109,Directed
0,14.0,153,Directed
0,15.0,1,Directed
0,18.0,2,Directed
0,19.0,9,Directed
0,20.0,1,Directed
0,25.0,2,Directed
0,26.0,8,Directed
0,31.0,4,Directed
0,32.0,5,Directed
0,38.0,2,Directed
0,41.0,2,Directed
0,46.0,1,Directed
0,49.0,1,Directed
0,50.0,1,Directed
0,56.0,1,Directed
0,57.0,2,Directed
0,58.0,1,Directed
0,59.0,2,Directed
0,62.0,25,Directed
0,63.0,1,Directed
0,69.0,1,Directed
0,79.0,1,Directed
0,81.0,1,Directed
0,99.0,1,Directed
0,106.0,1,Directed
0,113.0,1,Directed
0,114.0,1,Directed
0,116.0,1,Directed
0,126.0,7,Directed
0,127.0,6,Directed
0,130.0,43,Directed
0,131.0,7,Directed
0,142.0,21,Directed
0,143.0,15,Directed
0,150.0,3,Directed
0,151.0,2,Directed
0,152.0,3,Directed
0,155.0,1,Directed
0,162.0,119,Directed
0,173.0,2,Directed
0,176.0,3,Directed
0,177.0,17,Directed
0,178.0,1,Directed
0,179.0,4,Directed
0,183.0,5,Directed
0,196.0,1,Directed
0,197.0,1,Directed
1,0.0,4,Directed
1,5.0,8,Directed
1,10.0,30,Directed
1,11.0,2,Directed
1,13.0,1,Directed
1,14.0,2,Directed
1,15.0,3,Directed
1,17.0,2,Directed
1,18.0,9,Directed
1,19.0,21,Directed
1,20.0,14,Directed
1,21.0,1,Directed
1,22.0,1,Directed
1,23.0,17,Directed
1,24.0,2,Directed
1,25.0,2,Directed
1,26.0,143,Directed
1,27.0,28,Directed
1,28.0,114,Directed
1,29.0,1,Directed
1,30.0,89,Directed
1,31.0,20,Directed
1,32.0,40,Directed
1,34.0,6,Directed
1,36.0,1,Directed
1,37.0,6,Directed
1,38.0,1,Directed
1,39.0,2,Directed
1,41.0,24,Directed
1,42.0,3,Directed
1,44.0,1,Directed
1,45.0,2,Directed
1,46.0,11,Directed
1,47.0,1,Directed
1,48.0,13,Directed
1,49.0,24,Directed
1,50.0,6,Directed
1,51.0,1,Directed
1,55.0,2,Directed
1,56.0,3,Directed
1,57.0,3,Directed
1,58.0,7,Directed
1,61.0,38,Directed
1,62.0,64,Directed
1,67.0,10,Directed
1,68.0,4,Directed
1,70.0,2,Directed
1,73.0,2,Directed
1,74.0,4,Directed
1,77.0,1,Directed
1,79.0,1,Directed
1,86.0,5,Directed
1,87.0,2,Directed
1,88.0,1,Directed
1,90.0,1,Directed
1,91.0,1,Directed
1,92.0,5,Directed
1,97.0,3,Directed
1,98.0,1,Directed
1,99.0,16,Directed
1,100.0,3,Directed
1,104.0,62,Directed
1,105.0,5,Directed
1,107.0,3,Directed
1,108.0,1,Directed
1,109.0,5,Directed
1,110.0,1,Directed
1,111.0,1,Directed
1,112.0,6,Directed
1,113.0,18,Directed
1,114.0,9,Directed
1,116.0,61,Directed
1,117.0,1,Directed
1,118.0,1,Directed
1,119.0,1,Directed
1,122.0,1,Directed
1,124.0,4,Directed
1,126.0,225,Directed
1,127.0,76,Directed
1,129.0,2,Directed
1,130.0,8,Directed
1,131.0,24,Directed
1,132.0,33,Directed
1,135.0,2,Directed
1,137.0,1,Directed
1,138.0,21,Directed
1,141.0,4,Directed
1,142.0,34,Directed
1,143.0,18,Directed
1,151.0,22,Directed
1,152.0,2,Directed
1,153.0,32,Directed
1,154.0,9,Directed
1,155.0,3,Directed
1,156.0,2,Directed
1,158.0,5,Directed
1,160.0,3,Directed
1,162.0,27,Directed
1,164.0,8,Directed
1,168.0,2,Directed
1,169.0,2,Directed
1,171.0,1,Directed
1,172.0,37,Directed
1,173.0,24,Directed
1,174.0,19,Directed
1,176.0,8,Directed
1,177.0,10,Directed
1,178.0,35,Directed
1,179.0,46,Directed
1,180.0,2,Directed
1,187.0,22,Directed
1,190.0,36,Directed
1,191.0,19,Directed
1,192.0,42,Directed
1,193.0,5,Directed
1,195.0,11,Directed
1,196.0,23,Directed
1,197.0,15,Directed
1,198.0,6,Directed
1,199.0,34,Directed
1,203.0,1,Directed
1,204.0,1,Directed
2,1.0,2,Directed
2,3.0,6,Directed
2,4.0,10,Directed
2,6.0,9,Directed
2,7.0,23,Directed
2,8.0,13,Directed
2,15.0,5,Directed
2,16.0,46,Directed
2,18.0,14,Directed
2,19.0,4,Directed
2,20.0,1,Directed
2,23.0,17,Directed
2,25.0,26,Directed
2,26.0,3,Directed
2,27.0,1,Directed
2,29.0,2,Directed
2,34.0,3,Directed
2,35.0,10,Directed
2,37.0,3,Directed
2,38.0,76,Directed
2,41.0,1,Directed
2,43.0,30,Directed
2,44.0,3,Directed
2,45.0,33,Directed
2,46.0,7,Directed
2,47.0,22,Directed
2,49.0,8,Directed
2,50.0,2,Directed
2,53.0,1,Directed
2,54.0,125,Directed
2,55.0,2,Directed
2,56.0,1,Directed
2,57.0,3,Directed
2,58.0,2,Directed
2,59.0,3,Directed
2,60.0,14,Directed
2,63.0,198,Directed
2,64.0,55,Directed
2,65.0,1,Directed
2,66.0,8,Directed
2,67.0,3,Directed
2,69.0,1,Directed
2,70.0,3,Directed
2,72.0,1,Directed
2,73.0,1,Directed
2,75.0,13,Directed
2,77.0,9,Directed
